name,position,average_appearances,average_clean_sheets,average_goals_conceded,average_tackles,average_tackle_success_percentage,average_last_man_tackles,average_blocked_shots,average_interceptions,average_clearances,average_headed_clearance,average_clearances_off_line,average_recoveries,average_duels_won,average_duels_lost,average_successful_50_50s,average_aerial_battles_won,average_aerial_battles_lost,average_own_goals,average_errors_leading_to_goal,average_assists,average_passes,average_passes_per_match,average_big_chances_created,average_crosses,average_cross_accuracy_percentage,average_through_balls,average_accurate_long_balls,average_yellow_cards,average_fouls,average_offsides,average_goals,average_headed_goals,average_goals_with_right_foot,average_goals_with_left_foot,average_hit_woodwork,average_goals_per_match,average_penalties_scored,average_freekicks_scored,average_shots_on_target,average_shooting_accuracy_percentage,average_big_chances_missed,average_saves,average_penalties_saved,average_punches,average_high_claims,average_catches,average_sweeper_clearances,average_throw_outs,average_goal_kicks
Andrew Surman ,Midfielder,38.0,0.0,0.0,51.0,67.0,0.0,10.0,109.0,63.0,31.0,0.0,240.0,134.0,149.0,16.0,48.0,57.0,0.0,0.0,3.0,2287.0,60.18,0.0,9.0,22.0,5.0,218.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Tettey ,Midfielder,23.0,0.0,0.0,48.0,58.0,0.0,3.0,42.0,51.0,33.0,0.0,164.0,101.0,103.0,15.0,31.0,24.0,0.0,0.0,0.0,1064.0,46.26,0.0,2.0,0.0,0.0,70.0,10.0,39.0,0.0,2.0,0.0,1.0,1.0,0.0,0.09,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florian Thauvin ,Midfielder,13.0,0.0,0.0,8.0,75.0,0.0,3.0,7.0,2.0,0.0,0.0,30.0,36.0,46.0,11.0,2.0,9.0,0.0,0.0,0.0,172.0,13.23,1.0,47.0,11.0,2.0,3.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louis Thompson ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Beadling ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandar Tonev ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yaya Touré ,Midfielder,32.0,0.0,0.0,43.0,63.0,0.0,27.0,25.0,35.0,26.0,0.0,158.0,155.0,162.0,58.0,28.0,33.0,0.0,0.0,5.0,1838.0,57.44,5.0,12.0,25.0,20.0,108.0,3.0,27.0,2.0,6.0,0.0,3.0,3.0,1.0,0.19,1.0,0.0,23.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andros Townsend ,Midfielder,16.0,0.0,0.0,29.0,83.0,0.0,8.0,11.0,10.0,1.0,0.0,65.0,73.0,106.0,31.0,0.0,8.0,0.0,0.0,2.0,392.0,24.5,5.0,87.0,20.0,0.0,4.0,0.0,7.0,0.0,4.0,0.0,0.0,4.0,2.0,0.25,0.0,1.0,16.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco van Ginkel ,Midfielder,17.0,0.0,0.0,28.0,68.0,0.0,4.0,22.0,16.0,5.0,0.0,34.0,55.0,53.0,5.0,13.0,13.0,0.0,0.0,0.0,372.0,21.88,0.0,10.0,10.0,0.0,17.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Veretout ,Midfielder,25.0,0.0,0.0,32.0,72.0,0.0,7.0,27.0,15.0,0.0,0.0,105.0,80.0,103.0,11.0,11.0,27.0,0.0,1.0,5.0,991.0,39.64,2.0,109.0,31.0,2.0,50.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
